                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89199,                 1.3391,                 1.0933,                0.81791,                0.68896,                0.77205,                0.60472,                0.90591,                 0.9977,                 1.1477,             0.00016585,             0.00016585,             0.00016585
                     36,                0.90842,                 1.3405,                 1.1134,                0.80453,                0.65671,                0.74761,                0.58173,                 0.9402,                  1.097,                 1.2008,             0.00016338,             0.00016338,             0.00016338
                     37,                0.92332,                 1.3284,                 1.1035,                0.86467,                0.70377,                0.79608,                0.62632,                0.89544,                 0.9415,                 1.1636,              0.0001609,              0.0001609,              0.0001609
                     38,                0.91947,                 1.3733,                 1.1137,                 0.8236,                0.73475,                0.80067,                0.62312,                 0.9208,                0.95302,                 1.1573,             0.00015843,             0.00015843,             0.00015843
                     39,                0.88371,                 1.2956,                  1.103,                0.82483,                0.71781,                0.78714,                 0.6112,                0.93214,                0.94069,                  1.142,             0.00015595,             0.00015595,             0.00015595
                     40,                0.89044,                 1.2244,                 1.0979,                 0.8703,                 0.7113,                0.79725,                0.63406,                0.87529,                0.91168,                 1.1362,             0.00015348,             0.00015348,             0.00015348
                     41,                0.90428,                 1.2891,                 1.1055,                0.86798,                 0.6984,                0.79766,                0.61764,                0.92461,                0.95669,                 1.1527,               0.000151,               0.000151,               0.000151
                     42,                0.88535,                 1.2329,                 1.0811,                0.88584,                0.70018,                0.80576,                0.62545,                0.92739,                0.89861,                 1.1945,             0.00014853,             0.00014853,             0.00014853
                     43,                0.89863,                 1.2584,                 1.0972,                 0.8771,                0.72382,                0.80649,                0.62294,                0.94015,                0.89926,                 1.1671,             0.00014605,             0.00014605,             0.00014605
                     44,                 0.8865,                 1.2738,                 1.1133,                0.80372,                 0.6945,                0.77187,                0.61408,                0.83607,                   1.09,                  1.069,             0.00014358,             0.00014358,             0.00014358
                     45,                0.89116,                 1.2447,                 1.0907,                0.90773,                0.73668,                0.81947,                0.64743,                0.87263,                0.85484,                 1.1314,              0.0001411,              0.0001411,              0.0001411
                     46,                0.87853,                 1.2185,                 1.0912,                0.87381,                0.73574,                0.81686,                0.65214,                0.86091,                0.81166,                 1.1238,             0.00013862,             0.00013862,             0.00013862
                     47,                0.85659,                 1.1918,                 1.0717,                0.90855,                0.70603,                0.81663,                 0.6461,                0.88225,                0.87114,                 1.1068,             0.00013615,             0.00013615,             0.00013615
                     48,                0.87332,                 1.1802,                 1.0734,                0.87877,                  0.742,                0.81993,                0.64026,                0.91852,                0.84347,                 1.1616,             0.00013368,             0.00013368,             0.00013368
                     49,                0.87584,                 1.1969,                 1.0871,                0.87689,                0.71406,                0.80508,                0.64094,                0.86912,                0.87523,                 1.1274,              0.0001312,              0.0001312,              0.0001312
                     50,                0.87194,                 1.1443,                 1.0826,                0.90757,                0.73567,                0.82153,                0.65811,                0.84895,                0.81928,                 1.1025,             0.00012872,             0.00012872,             0.00012872
                     51,                0.84657,                 1.1488,                 1.0701,                 0.9205,                0.72648,                0.83309,                0.65398,                0.88331,                0.80865,                 1.1131,             0.00012625,             0.00012625,             0.00012625
                     52,                0.85222,                 1.1377,                  1.065,                0.89858,                0.73498,                0.81903,                0.65315,                 0.8519,                0.81053,                 1.1066,             0.00012377,             0.00012377,             0.00012377
                     53,                0.83012,                 1.1143,                  1.069,                0.88951,                0.73783,                0.82987,                0.65625,                0.86697,                0.82608,                 1.1063,              0.0001213,              0.0001213,              0.0001213
                     54,                0.84275,                 1.1265,                 1.0653,                0.90943,                0.73732,                0.82202,                0.65493,                0.86969,                0.79949,                 1.1179,             0.00011883,             0.00011883,             0.00011883
                     55,                0.83782,                 1.1095,                 1.0625,                0.89496,                0.75604,                 0.8309,                0.65285,                0.88821,                0.81249,                 1.1324,             0.00011635,             0.00011635,             0.00011635
                     56,                0.84205,                  1.113,                 1.0605,                0.91571,                0.75701,                0.84375,                0.66496,                0.88031,                0.79369,                 1.1271,             0.00011387,             0.00011387,             0.00011387
                     57,                0.83785,                 1.1059,                 1.0601,                0.88878,                0.74858,                 0.8297,                0.65823,                0.88434,                0.80395,                 1.1303,              0.0001114,              0.0001114,              0.0001114
                     58,                0.82308,                 1.0653,                 1.0445,                0.92564,                0.72575,                0.82342,                0.65473,                0.86425,                0.77976,                 1.1155,             0.00010893,             0.00010893,             0.00010893
                     59,                0.81677,                 1.0473,                 1.0531,                0.89956,                  0.749,                0.82364,                 0.6553,                 0.8473,                0.78497,                 1.1041,             0.00010645,             0.00010645,             0.00010645
                     60,                0.85391,                 1.1212,                 1.0628,                0.90693,                0.75438,                0.83217,                0.62616,                0.99287,                 0.8046,                 1.1542,             0.00010398,             0.00010398,             0.00010398
                     61,                0.83463,                 1.0582,                  1.053,                0.88308,                 0.7558,                0.83309,                0.66042,                0.86455,                0.76832,                 1.1053,              0.0001015,              0.0001015,              0.0001015
                     62,                0.83792,                 1.0791,                 1.0713,                0.94172,                0.72928,                0.83859,                0.66875,                0.85341,                0.78604,                  1.104,             9.9025e-05,             9.9025e-05,             9.9025e-05
